Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ETH,1/1/2020,128.7226035,132.1265273,133.4051841,127.8465766
ETH,1/2/2020,129.8873633,128.7216212,132.6791743,128.2703839
ETH,1/3/2020,127.0556009,129.8863431,130.6324407,126.1302469
ETH,1/4/2020,132.9708332,127.0556009,134.6841516,125.4814194
ETH,1/5/2020,133.8206207,132.9703017,135.5848146,132.3263511
ETH,1/6/2020,134.8342522,133.8167911,138.195358,133.543008
ETH,1/7/2020,143.1316009,135.2739362,143.531238,134.7410752
ETH,1/8/2020,142.133414,143.1324736,145.3194577,138.9961843
ETH,1/9/2020,140.3393937,142.1874732,147.8878586,137.0702812
ETH,1/10/2020,137.494999,140.510254,141.3850517,135.4280274
ETH,1/11/2020,142.8347834,137.49557,145.1033113,135.274729
ETH,1/12/2020,143.0715916,144.8464765,147.8492529,142.0189514
ETH,1/13/2020,145.2809937,143.0715231,145.7229897,141.7851073
ETH,1/14/2020,143.936917,145.3010869,146.9424926,142.1317502
ETH,1/15/2020,163.8546315,143.5929432,170.7564252,143.5882636
ETH,1/16/2020,166.5383399,163.8406104,171.6563009,158.8671805
ETH,1/17/2020,163.9372081,166.3027404,167.2172214,158.1935887
ETH,1/18/2020,171.5889768,163.937012,174.0779173,161.99306
ETH,1/19/2020,176.700434,171.5958832,179.1611163,164.985758
ETH,1/20/2020,166.0633101,176.657885,177.8974234,161.6662374
ETH,1/21/2020,167.5725368,166.0631809,169.2062999,161.0670262
ETH,1/22/2020,169.0544916,167.373634,169.9529092,164.1286409
ETH,1/23/2020,167.1518345,169.0544205,171.1612132,165.6820816
ETH,1/24/2020,162.6714167,167.1518146,167.8245546,158.8187964
ETH,1/25/2020,162.8065224,162.3679149,164.2163654,155.2544171
ETH,1/26/2020,160.9178681,162.8065025,163.7269775,157.3198028
ETH,1/27/2020,166.7218659,160.9179032,167.5504987,159.1773129
ETH,1/28/2020,169.8001126,166.7228033,171.7815363,164.9161589
ETH,1/29/2020,173.5481484,169.801455,174.2348638,169.501864
ETH,1/30/2020,175.4603221,173.5175971,178.2467887,173.0267159
ETH,1/31/2020,186.2620414,173.5603847,186.3123396,170.5479945
ETH,2/1/2020,181.7284342,186.3285604,186.6111016,175.0291985
ETH,2/2/2020,182.7739889,181.7283382,184.0332785,179.0145943
ETH,2/3/2020,189.3125531,183.4823208,193.2911004,178.9859952
ETH,2/4/2020,189.2575929,189.3134157,195.08972,186.5603487
ETH,2/5/2020,188.6750822,189.6130188,191.340966,184.3270488
ETH,2/6/2020,204.5305348,188.6684409,207.4707776,187.6323374
ETH,2/7/2020,211.2924866,203.5375203,216.1313985,201.0790494
ETH,2/8/2020,221.8331394,211.2919393,224.4646953,210.8638617
ETH,2/9/2020,224.0294272,221.8323626,227.6191842,213.2555276
ETH,2/10/2020,228.044309,223.3181345,230.8103672,223.1313498
ETH,2/11/2020,223.3196378,228.0450894,229.5480393,216.4743145
ETH,2/12/2020,237.8783455,222.9542937,239.6841923,218.1670884
ETH,2/13/2020,268.3962677,237.8861993,275.4723672,236.4062899
ETH,2/14/2020,266.2518149,268.3807601,277.9827305,255.7409068
ETH,2/15/2020,284.0004909,268.5806049,285.4471774,260.3258231
ETH,2/16/2020,267.3531863,283.9993078,289.0017948,261.3504166
ETH,2/17/2020,255.3551842,267.3499374,273.9227614,234.4556604
ETH,2/18/2020,261.1372307,259.3453376,263.2025109,242.5995295
ETH,2/19/2020,281.3812072,261.1376118,286.3718583,259.532188
ETH,2/20/2020,265.1448245,281.4042932,286.7519742,251.6772125
ETH,2/21/2020,259.7141345,258.8474449,264.2184464,246.1780145
ETH,2/22/2020,263.949385,259.7110004,268.6092346,254.0968942
ETH,2/23/2020,262.5732338,265.6881601,267.2730735,256.736652
ETH,2/24/2020,272.8428067,262.5691731,275.3366176,261.2756993
ETH,2/25/2020,263.8974852,272.8473478,277.708362,257.0230483
ETH,2/26/2020,251.9396762,263.8960707,267.006149,244.3759791
ETH,2/27/2020,225.6910701,251.9397915,251.9807182,215.5426206
ETH,2/28/2020,228.5854083,223.8823233,238.428281,210.1001735
ETH,2/29/2020,229.7854128,227.62721,234.7948751,214.4878151
ETH,3/1/2020,223.499288,229.7860462,233.2691992,221.4456151
ETH,3/2/2020,218.777736,223.4992679,227.776085,212.1268018
ETH,3/3/2020,230.812952,218.7768834,234.1852626,215.8928095
ETH,3/4/2020,224.6566351,232.0343099,232.6650573,219.9493612
ETH,3/5/2020,223.5277347,224.6562559,229.047914,220.4809358
ETH,3/6/2020,229.4143467,223.5285236,234.2592546,223.5260538
ETH,3/7/2020,240.4900817,228.936579,241.8133381,227.9712266
ETH,3/8/2020,240.5548524,240.5176726,252.5990377,236.6120714
ETH,3/9/2020,204.4108196,240.574393,240.6522949,203.5604328
ETH,3/10/2020,198.9773509,204.409597,209.7067018,189.822892
ETH,3/11/2020,203.1258772,203.1224284,206.417134,195.9137127
ETH,3/12/2020,194.427784,203.1277748,203.1525263,181.7249688
ETH,3/13/2020,127.2928962,194.4190714,195.634896,125.398911
ETH,3/14/2020,134.8210288,127.2961436,142.7696371,89.12203565
ETH,3/15/2020,124.9746147,134.8209002,138.6602973,123.520234
ETH,3/16/2020,123.7851093,124.9783659,140.1188475,120.3637021
ETH,3/17/2020,107.8983448,123.7056714,125.3449192,101.1181962
ETH,3/18/2020,118.3424036,107.9063585,120.9954965,107.5406348
ETH,3/19/2020,116.6065978,118.3389189,119.0685754,110.7148692
ETH,3/20/2020,140.8145457,116.5963987,143.5123452,115.9858314
ETH,3/21/2020,131.753158,140.8218465,153.1439814,116.6076331
ETH,3/22/2020,133.0816861,131.7649583,137.8092859,126.0691948
ETH,3/23/2020,123.2739472,133.0569759,137.6053555,122.3096235
ETH,3/24/2020,133.5701414,122.4791515,137.8896112,119.7426464
ETH,3/25/2020,140.1136999,133.5755786,144.3268148,133.0782176
ETH,3/26/2020,136.2496619,140.1092094,142.7179379,133.2704226
ETH,3/27/2020,136.6194963,136.3739676,139.0568576,133.7024401
ETH,3/28/2020,137.3184524,136.6185794,141.8027138,134.9075113
ETH,3/29/2020,131.2719317,137.3174606,137.3480397,125.3914771
ETH,3/30/2020,125.7283385,131.2752903,132.1039718,124.0249907
ETH,3/31/2020,133.7604753,124.4850282,135.4305768,124.1211868
ETH,4/1/2020,133.8929306,133.7498004,135.284805,130.6133359
ETH,4/2/2020,133.6525611,133.9133316,134.9038179,128.9923833
ETH,4/3/2020,142.5059265,133.6531152,149.9255286,133.5361133
ETH,4/4/2020,141.9206657,141.4470883,146.9356898,137.1831309
ETH,4/5/2020,144.1399041,141.9150412,146.5603123,139.0690013
ETH,4/6/2020,143.4993181,144.442955,145.9355568,140.8570066
ETH,4/7/2020,165.9462414,143.5003603,167.6462617,142.7616908
ETH,4/8/2020,166.4521496,165.9313097,176.4758147,162.493916
ETH,4/9/2020,172.8180919,166.4529168,174.5494637,163.2432187
ETH,4/10/2020,170.898714,172.8060053,173.7712735,165.6592749
ETH,4/11/2020,158.3075978,170.8986142,171.0957701,152.6164802
ETH,4/12/2020,158.010143,158.1338529,161.5064601,154.1694609
ETH,4/13/2020,162.023023,158.0070095,165.478978,155.3892855
ETH,4/14/2020,158.3185448,162.0230237,162.643682,150.21396
ETH,4/15/2020,159.7720237,158.1904744,162.2260863,155.7097622
ETH,4/16/2020,155.7292613,159.7696344,161.4999132,155.4397948
ETH,4/17/2020,174.0709972,153.0130095,174.5424392,148.6120062
ETH,4/18/2020,170.4157421,174.0950675,174.9407825,168.4524385
ETH,4/19/2020,188.1478721,170.4144991,189.7083243,170.4144991
ETH,4/20/2020,182.8541797,188.0228371,189.675142,176.580222
ETH,4/21/2020,171.3567484,182.8504561,186.6824072,167.0758818
ETH,4/22/2020,173.0543256,171.3555135,174.8467838,168.6138452
ETH,4/23/2020,182.209944,173.0531735,184.236789,170.1791848
ETH,4/24/2020,189.041151,182.2104001,193.4271814,178.3381224
ETH,4/25/2020,186.7921766,187.838387,189.9548662,184.960926
ETH,4/26/2020,193.6154222,186.7922836,198.1591868,186.0531399
ETH,4/27/2020,195.0902575,193.6142324,199.9994175,192.6599519
ETH,4/28/2020,197.025236,195.0914234,199.2723365,190.2449037
ETH,4/29/2020,197.3102249,196.8082326,198.0333933,192.6974719
ETH,4/30/2020,215.2002836,197.3100658,219.33709,196.7336124
ETH,5/1/2020,210.6202342,215.1289574,227.4632501,202.2787788
ETH,5/2/2020,212.3596702,210.622782,217.5523223,205.4940718
ETH,5/3/2020,214.7327164,212.3608688,215.8868401,210.7981641
ETH,5/4/2020,210.1867624,214.4688667,219.8058107,205.705298
ETH,5/5/2020,207.6209439,210.1831644,210.7856384,195.3044077
ETH,5/6/2020,205.0922163,207.6194602,211.8736692,201.4883897
ETH,5/7/2020,206.1612678,205.5914139,211.0983499,202.2826852
ETH,5/8/2020,212.9707684,206.161441,215.2475412,197.2693053
ETH,5/9/2020,213.6120028,212.974068,216.7245477,207.3486379
ETH,5/10/2020,211.3727352,213.620015,215.3336101,209.1647938
ETH,5/11/2020,188.6446608,211.3656223,212.111205,180.8481711
ETH,5/12/2020,186.0147755,187.7541426,193.7202067,176.492906
ETH,5/13/2020,189.8181868,186.0055493,192.3451121,183.969672
ETH,5/14/2020,199.4712477,190.0451615,201.2871008,188.7042577
